
### SETTING ##########################################

row_id,USERID,TIMESTAMP,gender,currentRoutine,DOB,name,length,mass,dbversion,vibration,alarm,timer,sets,targetrep,age,zonedifference,location,use_location,screenon,auto_lock,lastlogs,preloadreps,exp_level,fit_goal,audio_reminder,audio_exercise_tips,audio_personal_tips
768503,541724,"2026-03-16 17:26:15",M,3,1989-01-01,," cm"," kg",,,,90,3,8,23,1,,1,1,1,0,0,2,4,0,0,0


######################################################

### PROFILE ##########################################

row_id,USERID,TIMESTAMP,_id,mydate,weight,fatpercent,chest,arms,waist,calves,height,hips,thighs,shoulders,neck,forearms,logTime
264498558,541724,"2026-02-07 16:08:56",53,2026-02-07,81.8,19,99,35.5,82,36,193,88.5,56,122,36,29,1770479137
264666605,541724,"2026-02-09 20:16:21",54,2026-02-08,82.8,19,99,35.5,82,36,193,88.5,56,122,36,29,1770562302
264666606,541724,"2026-02-09 20:16:21",55,2026-02-09,81.6,19,99,35.5,82,36,193,88.5,56,122,36,29,1770627453
264751758,541724,"2026-02-10 18:59:18",56,2026-02-10,82.7,19,99,35.5,82,36,193,88.5,56,122,36,29,1770709289
264856363,541724,"2026-02-11 20:16:47",57,2026-02-11,82.6,19,99,35.5,82,36,193,88.5,56,122,36,29,1770808328
264998668,541724,"2026-02-13 17:30:45",58,2026-02-13,81.6,19,99,35.5,82,36,193,88.5,56,122,36,29,1770972900
2117539,541724,"2025-09-30 18:57:13",100000,2012-09-13,85,0,0,0,0,0,193,0,0,0,0,0,1347487200
6574793,541724,"2025-09-30 18:57:13",100001,2013-10-28,80.2,0,99,34,88,38,193,88,56,120,35,29,1382914800
11426745,541724,"2025-09-30 18:57:13",100002,2014-10-05,86,0,0,0,0,0,0,0,0,0,0,0,1412460000
14298281,541724,"2025-09-30 18:57:13",100003,2015-04-06,88.4,0,0,0,0,0,193,0,0,0,0,0,1428271200
15772912,541724,"2025-09-30 18:57:13",100004,2015-07-15,90,0,0,0,0,0,193,0,0,0,0,0,1436911200
18530720,541724,"2025-09-30 18:57:13",100005,2016-01-04,95,0,0,0,0,0,193,0,0,0,0,0,1451862000
21672109,541724,"2025-09-30 18:57:13",100006,2016-07-07,93,0,99,35.5,82,36,193,88.5,56,122,36,29,1467842400
25147580,541724,"2025-09-30 18:57:13",100007,2017-01-03,90,0,0,0,0,0,0,0,0,0,0,0,1483398000
76505564,541724,"2025-09-30 18:57:13",100008,2020-08-02,98,0,0,0,0,0,193,0,0,0,0,0,1596319200
78894852,541724,"2025-09-30 18:57:13",100009,2020-08-19,97.5,0,99,35.5,82,36,193,88.5,56,122,36,29,1597788000
129940926,541724,"2025-09-30 18:57:13",100010,2022-12-04,92,0,99,35.5,82,36,193,88.5,56,122,36,29,1670108400
265202537,541724,"2026-02-16 20:33:34",100011,2026-02-16,82.2998,19,99,35.5,82,36,193,88.5,56,122,36,29,1771266577
265260787,541724,"2026-02-17 15:59:54",100012,2026-02-17,82.1,19,99,35.5,82,36,193,88.5,56,122,36,29,1771340148
265344416,541724,"2026-02-18 19:52:43",100013,2026-02-18,82,19,99,35.5,82,36,193,88.5,56,122,36,29,1771421649
265466423,541724,"2026-02-20 12:29:16",100014,2026-02-20,82.3,19,99,35.5,82,36,193,88.5,56,122,36,29,1771587961
265690721,541724,"2026-02-23 20:17:25",100015,2026-02-22,83,19,99,35.5,82,36,193,88.5,56,122,36,29,1771761172
265690722,541724,"2026-02-23 20:17:25",100016,2026-02-23,82.3,19,99,35.5,82,36,193,88.5,56,122,36,29,1771834024
265760943,541724,"2026-02-24 20:19:11",100017,2026-02-24,83.0001,19,99,35.5,82,36,193,88.5,56,122,36,29,1771947223
265815559,541724,"2026-02-25 16:16:19",100018,2026-02-25,82.2998,19,99,35.5,82,36,193,88.5,56,122,36,29,1772020814
266104651,541724,"2026-03-02 20:52:15",100019,2026-02-26,82.5,19,99,35.5,82,36,193,88.5,56,122,36,29,1772113242
266104652,541724,"2026-03-02 20:52:15",100020,2026-02-27,82.1002,19,99,35.5,82,36,193,88.5,56,122,36,29,1772204130
266104653,541724,"2026-03-02 20:52:15",100021,2026-03-02,82.6,19,99,35.5,82,36,193,88.5,56,122,36,29,1772447206
266165825,541724,"2026-03-03 20:01:04",100022,2026-03-03,82.8001,19,99,35.5,82,36,193,88.5,56,122,36,29,1772564363
266281512,541724,"2026-03-05 21:07:51",100023,2026-03-05,82.4,19,99,35.5,82,36,193,88.5,56,122,36,29,1772744813
266343427,541724,"2026-03-06 17:12:25",100024,2026-03-06,82.2,19,99,35.5,82,36,193,88.5,56,122,36,29,1772813200
266670631,541724,"2026-03-12 16:33:26",100025,2026-03-09,83.4,19,99,35.5,82,36,193,88.5,56,122,36,29,1773060459
266670632,541724,"2026-03-12 16:33:26",100026,2026-03-12,83.5,19,99,35.5,82,36,193,88.5,56,122,36,29,1773331730
266741195,541724,"2026-03-13 17:52:32",100027,2026-03-13,82.8,19,99,35.5,82,36,193,88.5,56,122,36,29,1773418853
266790415,541724,"2026-03-14 16:00:58",100028,2026-03-14,83.5,19,99,35.5,82,36,193,88.5,56,122,36,29,1773495240
266827952,541724,"2026-03-15 14:39:14",100029,2026-03-15,83.7,19,99,35.5,82,36,193,88.5,56,122,36,29,1773585532
266876288,541724,"2026-03-16 17:26:15",100030,2026-03-16,84.6,19,99,35.5,82,36,193,88.5,56,122,36,29,1773656559


######################################################

### ROUTINES #########################################

row_id,USERID,TIMESTAMP,_id,name,difficulty,focus,dayaweek,description,daytype,tags,rdb_id,bannerCode,progression_flag
